posx,posz,time
2.0,2.0,3830785
2.0,2.0,3830837
2.2757578,2.2757578,3830885
2.5515156,2.5515156,3830932
2.8272736,2.8272736,3830976
3.1030314,3.1030314,3831022
3.3787892,3.3787892,3831067
3.654547,3.654547,3831782
3.654547,3.654547,3831835
3.654547,3.654547,3831890
3.654547,3.654547,3831945
3.2645667,3.654547,3831994
3.081215,3.3103566,3832042
2.9589806,3.0808964,3832092
2.6973283,2.7917204,3832139
2.4356759,2.5025442,3832186
2.1740236,2.213368,3832233
1.9995887,2.0205839,3832281
1.7261941,1.7424829,3832327
1.4527996,1.4643819,3832372
1.179405,1.1862808,3832417
0.997142,1.0008801,3832913
0.997142,1.0008801,3832947
0.997142,1.0008801,3832987
0.997142,1.3908606,3833025
0.9725924,1.7796794,3833059
0.93614477,2.167953,3833098
0.89988446,2.556244,3833141
0.8515367,3.0739653,3833185
0.82000935,3.4622564,3833226
1.0184661,3.797964,3833269
1.2169229,4.1336718,3833313
1.4153796,4.46938,3833332
1.6138364,4.8050876,3833369
1.8384387,5.123113,3833412
2.1553388,5.53536,3833459
2.3930137,5.844545,3833506
2.630689,6.15373,3833554
2.8728757,6.459394,3833603
3.1150625,6.7650576,3833646
3.3572495,7.070721,3833685
3.5994363,7.3763847,3833726
3.6801653,7.478273,3834391
3.6801653,7.478273,3834434
3.6801653,7.478273,3834478
4.0701456,7.478273,3834517
4.047975,7.8676224,3834552
4.0258045,8.256972,3834592
3.996244,8.776105,3834632
3.9740734,9.165455,3834671
3.9519029,9.554805,3834714
3.9297323,9.944155,3834754
3.9001718,10.463287,3834791
3.8780012,10.852637,3834828
3.8558307,11.241987,3834874
3.8543315,11.631965,3834920
3.8528323,12.021942,3834965
3.8513331,12.411921,3835012
3.849834,12.801898,3835057
3.8483348,13.191875,3835103
3.8468356,13.581853,3835150
3.8453364,13.97183,3835194
3.8438373,14.361809,3835238
3.842338,14.751786,3835282
3.840839,15.141764,3835325
3.9120092,15.525195,3835371
3.9831796,15.908627,3835418
4.05435,16.292057,3835463
4.12552,16.67549,3835504
4.1966906,17.05892,3835544
4.1790724,17.436205,3835589
4.179995,17.824873,3835632
4.179995,18.214033,3835677
4.179995,18.601414,3835722
4.179995,18.984978,3835765
4.179995,19.369522,3835812
4.2211657,19.682978,3835857
4.511315,19.94355,3835904
4.8014636,20.204124,3835950
4.994896,20.37784,3835999
4.994896,20.37784,3836051
4.994896,20.37784,3836100
4.994896,20.76782,3836154
5.366043,20.795143,3836201
5.737119,20.827614,3836249
6.1268597,20.820004,3836296
6.516488,20.820004,3836344
6.905792,20.820004,3836390
7.2939515,20.820004,3836436
7.4224024,20.820004,3836485
7.4224024,20.820004,3836537
7.629126,21.150684,3836582
7.76246,21.517162,3836623
7.895795,21.883642,3836667
8.001073,22.259144,3836712
8.106351,22.634645,3836758
8.178625,23.148016,3836806
8.179966,23.500654,3836850
8.1801815,23.59996,3837512
8.1801815,23.59996,3837543
8.1801815,23.59996,3837586
8.1801815,23.98994,3837640
8.56979,23.972908,3837691
8.959398,23.955873,3837741
9.478839,23.933163,3837790
9.478839,23.933163,3838448
9.478839,23.933163,3838488
9.478839,23.933163,3838535
9.868338,23.933163,3838577
10.2537565,23.979986,3838624
10.632274,23.979986,3838673
11.004219,23.994923,3838719
11.239045,24.106503,3838768
11.563067,24.179949,3838816
11.729055,24.264734,3838864
