posx,posz,time
2.0,2.0,5660445
2.0,2.0,5660492
2.2757578,2.2757578,5660539
2.5515156,2.5515156,5660584
2.8272736,2.8272736,5660628
3.1030314,3.1030314,5660674
3.3787892,3.3787892,5660719
3.654547,3.654547,5661427
3.654547,3.654547,5661476
3.654547,3.654547,5661528
3.654547,3.654547,5661578
3.2645667,3.654547,5661627
3.081215,3.3103566,5661675
2.9589806,3.0808964,5661722
2.6973283,2.7917204,5661769
2.4356759,2.5025442,5661816
2.1740236,2.213368,5661862
1.9995887,2.0205839,5661911
1.8173257,1.8351833,5661959
1.5439311,1.5570822,5662007
1.179405,1.1862808,5662054
0.997142,1.0008801,5662551
0.997142,1.0008801,5662590
0.997142,1.0008801,5674654
0.997142,1.0008801,5674703
1.3871225,1.0008801,5674750
2.297077,1.0008801,5675232
2.297077,1.0008801,5675268
2.0910952,1.3320241,5675305
1.9537741,1.5527866,5675342
2.1738486,1.8747368,5675377
2.3939235,2.196687,5675412
2.6139982,2.5186372,5675456
2.8792472,2.8045177,5675501
3.1444962,3.0903986,5675545
3.4097452,3.376279,5675589
3.6749942,3.6621597,5676288
3.6749942,3.6621597,5676336
3.6749942,3.6621597,5688399
3.6749942,3.6621597,5688448
3.6749942,3.6621597,5688492
3.934981,3.6621597,5688535
4.3249617,3.6621597,5688579
4.9749293,3.6621597,5689232
4.9749293,3.6621597,5699058
4.9749293,3.6621597,5699101
4.58965,3.7225318,5699148
4.204371,3.7829041,5699193
4.594299,3.7893095,5699239
4.9842267,3.795715,5699283
5.3741546,3.8021207,5699329
5.7640824,3.808526,5699375
6.1540103,3.8149316,5699421
6.5439377,3.8213372,5699466
6.9338655,3.8277428,5699513
7.3237934,3.8341484,5699557
7.5322084,4.0841556,5699603
7.6498666,4.4559636,5699648
7.767525,4.827772,5699693
7.81192,5.0839405,5699740
7.8785133,5.468193,5699782
7.945106,5.852446,5699827
7.9895015,6.1086144,5699872
7.9940944,6.4985676,5699913
7.997156,6.758537,5700408
7.997156,6.758537,5700445
7.997156,6.758537,5717386
7.997156,6.758537,5717430
7.997156,6.758537,5717478
8.01258,6.6294613,5717523
7.97336,6.2414584,5717573
7.9341397,5.853455,5717616
7.8949194,5.4654517,5717664
7.8438005,5.078836,5717709
7.7926817,4.69222,5717758
7.741563,4.305605,5717805
7.4801936,4.016173,5717847
7.2188244,3.7267406,5717893
6.957455,3.4373085,5717939
6.696086,3.1478765,5717987
6.399707,2.8944118,5718031
5.4117775,2.0495296,5718734
5.3129845,1.9650413,5718783
5.0091314,1.7205864,5718830
4.7052784,1.4761316,5718875
4.401426,1.2316766,5718922
4.097573,0.9872218,5718970
3.708351,0.96291023,5719016
3.3191288,0.9385987,5719062
2.9299068,0.91428715,5719109
2.540685,0.88997567,5719157
2.151463,0.8656641,5719207
1.6325003,0.83324873,5719254
1.2433203,0.82000625,5719302
0.9847388,0.82000625,5719818
0.9847388,0.82000625,5719856
0.9847388,0.82000625,5719894
0.9847388,1.2099868,5719933
0.9544716,1.5987909,5719970
0.9242043,1.9875951,5720008
0.89393705,2.3763993,5720054
0.86366975,2.7652035,5720100
0.83340245,3.1540077,5720148
0.8200078,3.5426364,5720195
1.0258113,3.873891,5720239
1.2316148,4.205146,5720287
1.4374185,4.536401,5720333
1.643222,4.8676553,5720376
1.8807501,5.1769533,5720420
2.1182783,5.486251,5720469
2.3558064,5.795549,5720517
2.5933347,6.104847,5720563
2.8353572,6.4106407,5720608
3.0773797,6.7164345,5720654
3.3194022,7.0222282,5720699
