posx,posz,time
2.0,1.0,23
2.0,1.0,147
1.6462842,1.1642251,158
1.4451607,1.1799419,168
1.163507,1.4760324,176
1.0518965,1.8497005,186
0.94028586,2.2233686,193
0.8658788,2.4724808,205
0.8658788,2.4724808,258
0.8658788,2.4724808,270
0.8658788,2.4724808,283
0.8658788,2.4724808,295
1.2145765,2.647108,307
1.4956526,2.8538156,317
1.854301,3.0069697,328
2.2086387,3.0799608,338
2.5963926,3.0799901,348
2.9823127,3.1008132,359
3.3672574,3.1632826,370
3.733129,3.0743432,380
4.208243,2.8630617,391
4.5971274,2.8338444,401
4.9859324,2.8200073,411
5.3721576,2.8200073,421
5.5809884,2.8200076,431
5.7704964,2.6870313,441
6.009732,2.3790572,449
6.330021,1.9694383,459
6.570227,1.6622157,468
6.8104334,1.354993,477
7.1307087,0.94536287,487
7.1307087,0.94536287,498
7.1307087,0.94536287,509
7.1307087,1.3353434,520
7.1659555,1.7237277,531
7.1799912,2.1119611,542
7.1799912,2.4967997,552
7.179993,2.8854227,562
7.179993,3.271448,572
7.1815777,3.6011064,582
7.3716326,3.8070745,592
7.7527695,3.8200047,602
8.142063,3.820005,612
8.495584,3.8200047,622
8.5955105,3.8200047,633
8.5955105,3.8200047,643
8.5955105,3.8200047,654
8.985492,3.8200047,666
8.963509,3.4306443,677
8.941526,3.0412838,686
8.981566,2.5244038,698
9.0289345,2.1373107,708
9.088858,1.7519616,718
9.14878,1.3666123,728
9.179984,0.9818207,854
9.179984,0.9818207,862
9.179984,0.9818207,873
9.179984,1.3718011,884
9.179997,1.6319296,895
9.179997,2.0217004,906
9.179997,2.4113414,917
9.179997,2.800678,928
9.179997,3.1889806,939
9.179997,3.5399017,950
9.196202,3.6420503,1085
9.196202,3.6420503,1095
9.196202,3.6420503,1105
9.196202,4.0320306,1117
8.835246,3.8843975,1127
8.446849,3.8492987,1137
8.058451,3.820009,1146
7.669974,3.8200064,1156
7.4511714,3.8200064,1166
7.2990737,3.7576933,1175
7.1681924,3.4838562,1185
7.1799874,3.0979433,1194
7.1799874,2.971447,1204
7.1799874,2.971447,1215
6.793369,2.9203532,1224
6.4067497,2.8692594,1233
6.0201306,2.8181655,1243
5.6313753,2.7937682,1254
5.2633066,2.820058,1265
4.874883,2.820007,1275
4.4249225,2.820007,1286
4.2181096,2.6775815,1297
4.1264734,2.3029733,1308
3.886168,1.0254428,1443
3.886168,1.0254428,1453
3.886168,1.0254428,1464
3.4961874,1.0254428,1475
3.5908866,1.1903883,1487
3.765353,1.3033024,1498
3.822178,1.656554,1509
3.8200047,2.0459988,1520
3.8200047,2.304991,1532
3.8081036,2.6327484,1543
3.5388584,2.8364077,1554
3.1712773,2.9666724,1565
2.8036962,3.0969367,1576
2.462811,3.1799483,1587
2.2262626,3.3124123,1598
2.1722631,3.5407739,1733
2.1722631,3.5407739,1743
2.1722631,3.5407739,1755
2.1722631,3.8007607,1766
2.1150196,4.184361,1777
