posx,posz,time
2.0,1.0,2876722
2.0,1.0,2877898
1.6462842,1.1642251,2877973
1.354041,1.2016577,2878057
1.163507,1.4760324,2878136
1.0891,1.7251445,2878221
0.9774894,2.0988126,2878303
0.8658788,2.4724808,2878379
0.8658788,2.4724808,2879582
0.8658788,2.4724808,2879666
0.8658788,2.4724808,2879753
0.8658788,2.4724808,2879838
1.0983438,2.588899,2879922
1.3761032,2.8027642,2880005
1.7347515,2.9559183,2880082
2.0933998,3.0799608,2880163
2.352213,3.079991,2880237
2.7394686,3.079991,2880312
3.1246428,3.1222258,2880392
3.5094433,3.1799839,2880475
3.7464132,3.073033,2880556
4.1018686,2.9126074,2880637
4.489787,2.8725572,2880714
4.8777056,2.8325074,2880797
5.2651186,2.8200102,2880878
5.491816,2.8200102,2880959
5.767451,2.6936243,2881037
6.007293,2.3861177,2881111
6.247136,2.078611,2881177
6.407031,1.8736067,2881238
6.646874,1.5661001,2881305
6.8867164,1.2585934,2881380
7.126559,0.9510869,2881445
7.126559,0.9510869,2881514
7.126559,0.9510869,2881593
7.126559,1.3410673,2881671
7.1509013,1.5999123,2881753
7.179991,1.9881796,2881838
7.179991,2.3749213,2881915
7.1799927,2.6348882,2881994
7.1799927,2.893839,2882079
7.1799927,3.2797384,2882161
7.180836,3.5983932,2882240
7.367791,3.805397,2882321
7.618072,3.826122,2882407
8.007543,3.8200047,2882490
8.395633,3.8200047,2882570
8.606842,3.8178003,2882656
8.746703,3.7213626,2882740
8.838594,3.3676288,2882826
8.883163,2.9802034,2882908
8.898021,2.8510616,2882994
8.898021,2.8510616,2883074
8.93932,2.5943758,2883155
9.001267,2.209347,2883233
9.065513,1.8246948,2883314
9.129758,1.4400426,2883392
9.179983,1.0553904,2884379
9.179983,1.0553904,2884453
9.179983,1.0553904,2905451
9.179983,1.0553904,2905522
9.179983,1.0553904,2905585
9.179983,1.0553904,2905649
9.179983,1.0553904,2908749
9.179983,1.0553904,2908826
9.179983,1.0553904,2908896
9.179983,1.0553904,2909807
9.179983,1.0553904,2909877
9.179983,1.0553904,2909946
9.179983,1.0553904,2931995
9.179983,1.0553904,2932079
9.179983,1.0553904,2932150
9.179983,1.0553904,2932227
9.179983,1.0553904,2933272
9.179983,1.0553904,2933358
9.179983,1.0553904,2933442
9.179983,1.0553904,2933524
9.179983,1.0553904,2940169
9.179983,1.0553904,2940249
9.179983,1.0553904,2940325
9.179983,1.0553904,2940407
9.179983,1.0553904,2947264
9.179983,1.0553904,2947344
9.179983,1.0553904,2947418
9.179983,1.0553904,2948379
9.179983,1.0553904,2948450
9.179983,1.0553904,2948519
9.179983,1.0553904,2955436
9.179983,1.0553904,2955519
9.179983,1.0553904,2955597
9.179983,1.0553904,2956583
9.179983,1.0553904,2956659
9.179983,1.0553904,2956730
9.179983,1.0553904,2963660
9.179983,1.0553904,2963743
9.179983,1.0553904,2963807
9.179983,1.0553904,2963868
9.179983,1.0553904,2970184
9.179983,1.0553904,2970252
9.179983,1.0553904,2970329
9.179983,1.0553904,2971282
9.179983,1.0553904,2971351
9.179983,1.0553904,2971406
9.179983,1.0553904,2977677
9.179983,1.0553904,2977764
9.179983,1.0553904,2977838
9.179983,1.0553904,2977915
9.179983,1.0553904,2984379
9.179983,1.0553904,2984457
9.179983,1.0553904,2984533
9.179983,1.0553904,2984610
9.179983,1.0553904,2991265
9.179983,1.0553904,2991336
9.179983,1.0553904,2991403
9.179983,1.0553904,2992364
9.179983,1.0553904,2992430
9.179983,1.0553904,2992496
9.179983,1.0553904,2999260
9.179983,1.0553904,2999341
9.179983,1.0553904,2999405
9.179983,1.0553904,2999475
9.179983,1.0553904,3005520
9.179983,1.0553904,3005594
9.179983,1.0553904,3005663
9.179983,1.0553904,3005739
9.179983,1.0553904,3012234
9.179983,1.0553904,3012304
9.179983,1.0553904,3012376
9.179983,1.0553904,3012449
9.179983,1.0553904,3019246
9.179983,1.0553904,3019329
9.179983,1.0553904,3019396
9.179983,1.0553904,3019467
9.179983,1.0553904,3025583
9.179983,1.0553904,3025664
9.179983,1.0553904,3025738
9.179983,1.0553904,3026632
9.179983,1.0553904,3026703
9.179983,1.0553904,3026772
9.179983,1.0553904,3033470
9.179983,1.0553904,3033541
9.179983,1.0553904,3033610
9.179983,1.0553904,3033677
9.179983,1.0553904,3040427
9.179983,1.0553904,3040510
9.179983,1.0553904,3040591
9.179983,1.0553904,3040671
9.179983,1.0553904,3047429
9.179983,1.0553904,3047504
9.179983,1.0553904,3047573
9.179983,1.0553904,3047646
9.179983,1.0553904,3054475
9.179983,1.0553904,3054549
9.179983,1.0553904,3054618
9.179983,1.0553904,3055600
9.179983,1.0553904,3055673
9.179983,1.0553904,3055740
9.179983,1.0553904,3062475
9.179983,1.0553904,3062558
9.179983,1.0553904,3062635
9.179983,1.0553904,3062710
9.179983,1.0553904,3069080
9.179983,1.0553904,3069161
9.179983,1.0553904,3069241
9.179983,1.0553904,3069317
9.179983,1.0553904,3075977
9.179983,1.0553904,3076060
9.179983,1.0553904,3076133
9.179983,1.0553904,3076205
9.179983,1.0553904,3082892
9.179983,1.0553904,3082980
9.179983,1.0553904,3083055
9.179983,1.0553904,3083136
9.179983,1.0553904,3089881
9.179983,1.0553904,3089963
9.179983,1.0553904,3090046
9.179983,1.0553904,3090128
9.179983,1.0553904,3096783
9.179983,1.0553904,3096859
9.179983,1.0553904,3096926
9.179983,1.0553904,3096997
9.179983,1.0553904,3103748
9.179983,1.0553904,3103825
9.179983,1.0553904,3103904
9.179983,1.0553904,3103985
9.179983,1.0553904,3110166
9.179983,1.0553904,3110241
9.179983,1.0553904,3110316
9.179983,1.0553904,3110391
9.179983,1.0553904,3116598
9.179983,1.0553904,3116669
9.179983,1.0553904,3116736
9.179983,1.0553904,3116807
9.179983,1.0553904,3123580
9.179983,1.0553904,3123661
9.179983,1.0553904,3123738
9.179983,1.0553904,3123820
9.179983,1.0553904,3130714
9.179983,1.0553904,3130799
9.179983,1.0553904,3130877
9.179983,1.0553904,3130946
9.179983,1.0553904,3137397
9.179983,1.0553904,3137469
9.179983,1.0553904,3137542
9.179983,1.0553904,3137622
9.179983,1.0553904,3144209
9.179983,1.0553904,3144290
9.179983,1.0553904,3144361
9.179983,1.0553904,3144438
9.179983,1.0553904,3151006
9.179983,1.0553904,3151079
9.179983,1.0553904,3151150
9.179983,1.0553904,3151219
9.179983,1.0553904,3157285
9.179983,1.0553904,3157363
9.179983,1.0553904,3157435
9.179983,1.0553904,3158299
9.179983,1.0553904,3158367
9.179983,1.0553904,3158434
9.179983,1.0553904,3164366
9.179983,1.0553904,3164437
9.179983,1.0553904,3164504
9.179983,1.0553904,3164572
9.179983,1.0553904,3170776
9.179983,1.0553904,3170857
9.179983,1.0553904,3170931
9.179983,1.0553904,3171006
9.179983,1.0553904,3177758
9.179983,1.0553904,3177830
9.179983,1.0553904,3177891
9.179983,1.0553904,3177952
9.179983,1.0553904,3184193
9.179983,1.0553904,3184278
9.179983,1.0553904,3184351
9.179983,1.0553904,3184419
9.179983,1.0553904,3190888
9.179983,1.0553904,3190975
9.179983,1.0553904,3191054
9.179983,1.0553904,3191132
9.179983,1.0553904,3196960
9.179983,1.0553904,3197027
9.179983,1.0553904,3197090
9.179983,1.0553904,3197157
9.179983,1.0553904,3203221
9.179983,1.0553904,3203290
9.179983,1.0553904,3203360
9.179983,1.0553904,3203434
9.179983,1.0553904,3209612
9.179983,1.0553904,3209688
9.179983,1.0553904,3209753
9.179983,1.0553904,3209827
9.179983,1.0553904,3216049
9.179983,1.0553904,3216136
9.179983,1.0553904,3216211
9.179983,1.0553904,3216291
9.179983,1.0553904,3222777
9.179983,1.0553904,3222847
9.179983,1.0553904,3222916
9.179983,1.0553904,3222984
9.179983,1.0553904,3229642
9.179983,1.0553904,3229723
9.179983,1.0553904,3229802
9.179983,1.0553904,3229884
9.179983,1.0553904,3236555
