id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
1,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
2,1,b1,Switch,isOn,false,FAILED. Abort was invoked.,
3,1,b1,Switch,isOn,true,SUCCESS. Solved by ,
4,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
5,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
6,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
7,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
8,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
9,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
10,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
11,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
12,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
13,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
14,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
15,1,b21,Switch,isOn,true,SUCCESS. Solved by ,
16,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
17,1,b63,Switch,isOn,true,SUCCESS. Solved by ,
18,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
19,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
20,1,b21,Switch,isOn,false,SUCCESS. Solved by ,
21,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
22,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
23,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
24,1,b22,Switch,isOn,true,SUCCESS. Solved by ,
25,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
26,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
27,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
28,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
29,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
30,1,door53,Door,isOpen,true,SUCCESS. Solved by Observe,
31,1,b21,Switch,isOn,true,SUCCESS. Solved by ,
32,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
33,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
34,1,b63,Switch,isOn,false,SUCCESS. Solved by ,
35,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
36,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
37,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
38,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
39,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
40,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
41,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
42,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
43,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
44,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
45,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
46,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
47,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
48,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
49,1,door53,Door,isOpen,true,SUCCESS. Solved by Observe,
50,1,b21,Switch,isOn,false,SUCCESS. Solved by ,
51,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
52,1,door52,Door,isOpen,true,SUCCESS. Solved by Observe,
53,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
54,1,door51,Door,isOpen,true,SUCCESS. Solved by Observe,
55,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
56,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
57,1,b22,Switch,isOn,false,SUCCESS. Solved by ,
58,1,door49,Door,isOpen,true,SUCCESS. Solved by Observe,
