posx,posz,time
202.0,102.0,404966
202.0,102.0,405017
202.36209,101.855156,405022
201.95242,102.35977,405028
201.3352,103.02738,405033
200.88187,103.49314,405037
200.88187,103.49314,405087
200.88187,103.49314,405092
200.88187,103.49314,405099
201.53183,103.49314,405104
201.7538,103.98522,405108
202.0645,104.55612,405112
202.4995,105.35537,405116
202.77666,105.943275,405120
203.22012,106.883934,405124
203.38641,107.23668,405130
203.58209,107.85649,405135
203.6995,108.22838,405186
203.6995,108.22838,405190
203.6995,108.22838,405195
203.6995,108.22838,405200
202.95131,108.18,405205
202.43376,108.1799,405210
202.43376,108.1799,405261
201.928,108.05919,405266
202.70297,108.14721,405271
203.21921,108.17999,405275
203.65247,108.20273,405281
203.65247,108.20273,405328
203.65247,108.20273,405331
203.65247,108.20273,405336
203.01581,108.18,405340
202.61798,108.050255,405345
202.2239,107.53338,405349
201.82982,107.01651,405354
201.39563,106.36857,405358
200.88908,105.61264,405362
200.82005,105.41503,405367
200.82005,105.41503,405408
200.82005,105.41503,405412
200.82005,105.41503,405418
200.82005,105.41503,405423
201.60002,105.41503,405427
201.84996,106.04973,405431
201.73792,106.557495,405435
202.04088,106.98009,405439
202.41957,107.50834,405443
203.06908,107.940186,405448
203.28557,108.08414,405452
203.59364,108.17994,405456
203.83246,108.472404,405461
203.82,109.249016,405464
203.82002,109.88954,405508
204.08043,110.17983,405513
203.964,109.54038,405518
203.82,108.64515,405522
203.80048,108.35934,405527
203.2925,108.122734,405531
202.27945,107.88842,405536
201.3952,107.67366,405541
201.01614,107.58196,405546
201.01614,107.58196,405551
201.01614,107.58196,405556
201.01614,106.932,405562
200.88586,106.03523,405566
200.82002,105.65317,405571
200.82002,105.43916,405576
200.82002,105.43916,405624
200.82002,105.43916,405627
200.82002,105.43916,405632
200.82002,105.43916,405637
201.46999,105.43916,405642
201.75916,106.21258,405647
201.70876,106.59929,405651
202.1046,107.11482,405656
202.42126,107.527245,405661
202.96655,107.880974,405666
203.29372,108.093216,405671
203.60283,108.18203,405677
203.83243,108.504715,405681
203.82,109.28136,405685
203.82,109.9175,405742
204.0888,110.20005,405748
203.99435,109.68872,405752
203.82002,108.66608,405756
203.75691,108.29089,405761
203.17467,108.09138,405766
202.1619,107.855385,405771
201.27695,107.643524,405776
