id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
1,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
2,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
3,1,b6,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
4,1,b6,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
5,1,door2,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
6,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
7,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
8,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
9,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
10,1,door3,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
11,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
12,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
13,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
14,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
15,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
16,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
17,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
18,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
19,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
20,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
21,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
22,1,door0,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
23,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
24,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
25,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
26,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
27,1,door7,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
28,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
29,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
30,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
31,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
32,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
33,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
34,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
35,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
36,1,door0,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
37,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
38,1,door7,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
39,1,door1,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
40,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
41,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
42,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
43,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
44,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
45,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
46,1,b4,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
47,1,door3,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
48,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
49,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
50,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
51,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
52,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
53,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
54,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
55,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
56,1,door0,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
57,1,door2,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
58,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
59,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
60,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
61,1,door0,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
62,1,b17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
63,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
64,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
65,1,b18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
66,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
67,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
68,1,b11,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
69,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
70,1,door7,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
71,1,b18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
72,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
73,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
74,1,b17,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
75,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
76,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
77,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
78,1,door12,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
79,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
80,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
81,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
82,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
83,1,b11,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
84,1,b11,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
85,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
86,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
87,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
88,1,door1,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
89,1,b5,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
90,1,b17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
91,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
92,1,b11,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
93,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
94,1,door5,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
95,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
96,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
97,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
98,1,door6,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
99,1,b11,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
100,1,b15,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
101,1,b0,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
102,1,b0,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
103,1,b11,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
104,1,b11,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
105,1,b14,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
106,1,b15,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
107,1,b14,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
