posx,posz,time
1.0,1.0,99
1.0,1.0,277
1.0,1.0,311
1.0,1.0,329
1.3899806,1.0,345
1.5678537,1.3470532,360
1.6864358,1.578422,374
1.9493814,1.8664228,388
2.2123268,2.1544235,399
2.5629208,2.5384245,414
2.8360467,2.8167894,428
3.1091726,3.0951543,442
3.4733405,3.4663074,457
3.6554246,3.651884,471
3.9308493,3.9279747,485
4.206274,4.2040653,499
4.573507,4.572186,512
4.94074,4.9403067,527
4.94074,4.9403067,675
4.94074,4.9403067,687
4.94074,4.9403067,841
4.94074,4.9403067,856
4.5507593,4.9403067,871
4.452829,5.317791,883
4.354898,5.6952753,897
4.2243233,6.1985874,911
4.1263924,6.5760717,925
4.0284615,6.9535556,939
3.9305308,7.33104,953
3.5504043,7.6339006,967
3.2029216,7.810933,981
2.855439,7.987966,996
2.6237838,8.105988,1010
2.4140391,8.179941,1024
2.2605722,8.275489,1039
2.1762984,8.729601,1053
2.1799974,9.1194725,1068
2.1799974,9.509284,1082
2.1799974,9.898929,1096
2.1799974,10.416988,1260
2.1799974,10.416988,1422
2.1799974,10.416988,1435
2.1799974,10.416988,1448
2.1799974,10.936962,1463
2.5686574,10.904895,1477
2.957317,10.872828,1491
3.345977,10.84076,1504
3.6050835,10.820008,1518
3.6050835,10.820008,1542
3.6050835,10.820008,1555
3.995064,10.820008,1570
4.027002,11.060795,1583
3.8333704,11.543368,1598
3.6886933,11.9055195,1611
3.544016,12.267671,1626
3.3993385,12.629822,1640
3.2064352,13.112689,1654
3.0617578,13.47484,1668
2.9170804,13.83699,1682
2.9018445,14.226673,1695
2.8866088,14.616356,1709
2.8662944,15.135933,1723
2.8510587,15.525616,1737
2.8358228,15.915298,1750
2.6000469,16.225935,1764
2.364271,16.53657,1778
2.049903,16.95075,1792
1.6603507,16.969025,1806
1.2707986,16.987297,1820
1.2707986,16.987297,1980
1.2707986,16.987297,1993
1.2707986,16.987297,2152
1.6120578,17.176048,2170
1.4496187,16.821508,2184
1.2871795,16.466969,2198
1.0705938,15.994249,2214
0.90815467,15.639709,2231
0.8919873,15.1199875,2246
0.8798618,14.730195,2260
0.8677363,14.340404,2272
0.8515689,13.820681,2288
0.8394433,13.430889,2304
0.823276,12.911166,2319
0.82000315,12.521396,2335
0.82000315,12.131844,2351
0.82000315,11.743414,2366
1.0606885,11.436566,2381
1.3816023,11.027436,2396
1.6549957,10.791771,2411
1.8227557,10.584596,2426
1.8485283,10.135208,2441
2.0059521,9.977822,2455
2.0200157,9.479548,2470
2.0200157,9.099908,2485
2.0200157,8.737461,2500
2.0200155,8.389272,2515
2.0081863,8.252673,2530
1.8776541,8.077508,2554
2.1129084,7.9668336,2568
2.2733228,7.6113734,2582
2.7010949,6.66348,2740
2.7010949,6.66348,2753
3.029849,6.453705,2767
3.3586032,6.24393,2780
3.6873574,6.034155,2793
4.125696,5.7544556,2808
4.4544506,5.5446806,2821
4.7832046,5.3349056,2834
4.994096,5.0068665,2848
5.2752843,4.5694814,2861
5.486176,4.241442,2874
5.6970673,3.913403,2887
5.9079585,3.585364,2900
6.1188498,3.257325,2914
6.259444,3.0386324,2927
5.869647,3.0266757,2942
5.3499174,3.0107334,2957
5.219985,3.006748,3110
5.219985,3.006748,3123
5.219985,3.006748,3290
5.6051717,2.9457886,3304
6.118754,2.8645096,3318
5.9608545,3.2210944,3331
5.802955,3.577679,3344
5.6450562,3.9342635,3358
5.487157,4.2908483,3371
5.3292575,4.647433,3384
5.2239914,4.8851557,3397
5.0509315,5.2346344,3411
4.8778715,5.5841126,3425
4.704812,5.933591,3438
4.531752,6.283069,3451
4.301006,6.74904,3465
4.1279464,7.098519,3478
3.9548864,7.447997,3491
3.6055896,7.6214232,3505
3.1398609,7.852658,3519
2.790564,8.026084,3532
2.4643862,8.179946,3545
2.3565617,8.20993,3559
2.1848643,8.391643,3573
2.1796196,8.907577,3587
2.1799977,9.29743,3601
2.1799974,9.687186,3615
2.1799974,10.076657,3629
2.1799977,10.3356905,3800
2.1799977,10.3356905,3813
2.1799977,10.3356905,3827
2.1799977,10.725671,3843
2.5007381,10.829067,3857
2.890627,10.820605,3872
3.2804832,10.820003,3886
3.5402467,10.820003,3899
3.5402467,10.820003,3913
