posx,posz,time
3.0,41.0,129560939
3.0,41.0,129562779
3.0,41.0,129562893
2.7400131,41.0,129563002
2.3537495,40.956192,129563109
1.9693449,40.890484,129563220
1.7130748,40.84668,129563349
1.4850525,40.82004,129563470
1.4850525,40.82004,129565314
1.4850525,40.82004,129565437
1.4850525,40.82004,129565556
1.7450395,40.82004,129565668
2.1350052,40.82,129565787
2.5249538,40.82,129565910
2.9148777,40.82,129566037
3.174793,40.82,129566163
3.564466,40.820004,129566282
3.9544368,40.82,129566403
4.3444047,40.82,129566527
4.6043806,40.82,129566653
4.994338,40.82,129566771
5.3842826,40.820004,129566896
5.774195,40.820004,129567006
6.164003,40.82,129567123
6.522568,40.82,129567249
6.630495,40.811245,129569023
6.630495,40.811245,129569146
6.630495,40.811245,129569278
6.630495,40.811245,129569399
6.2445245,40.82479,129569517
5.871679,40.939117,129569635
5.623115,41.01534,129569757
5.250269,41.129665,129569877
5.001705,41.205883,129569989
4.612003,41.220608,129570110
4.2223,41.23533,129570225
3.8325977,41.250053,129570341
3.572796,41.25987,129570459
3.3129945,41.269684,129570578
3.069899,41.361866,129570700
2.705256,41.500145,129570815
2.340613,41.63842,129570932
1.9767313,41.778687,129571056
1.6128497,41.918953,129571171
1.2489682,42.059223,129571285
1.0063806,42.152733,129572666
1.0063806,42.152733,129572775
1.0063806,42.152733,129574443
1.0063806,42.152733,129574549
1.3963611,42.152733,129574653
1.4699726,42.40208,129574760
1.58039,42.776104,129574860
1.6908073,43.150127,129574970
1.9110672,43.47195,129575084
2.1313272,43.793774,129575198
2.351587,44.115597,129575313
2.571847,44.43742,129575427
2.8101687,44.74611,129575537
3.0484908,45.054794,129575651
3.207372,45.260586,129575769
3.4456937,45.56927,129575890
3.6840153,45.87796,129577532
3.6840153,45.87796,129578865
3.6840153,45.87796,129578970
3.6840153,45.87796,129579074
4.073996,45.87796,129579174
4.029192,46.265358,129579270
3.9843879,46.652756,129579373
3.9395838,47.040154,129579472
3.89478,47.42755,129579572
3.8499758,47.81495,129579671
3.860061,48.070484,129579769
4.015254,48.244846,129579870
4.020016,49.79633,129581383
4.020016,49.79633,129581488
4.020016,49.79633,129581590
4.020016,50.186314,129581692
4.020016,51.096268,129583057
4.020016,51.096268,129583140
4.004069,51.225277,129583239
3.9554324,50.83834,129583340
3.906796,50.45141,129583440
3.8743718,50.19345,129583536
3.8435407,50.319733,129583627
3.8200486,50.541283,129583716
3.7727013,50.677868,129583824
3.528869,50.832134,129583943
3.1397262,50.820007,129584059
2.7517962,50.820007,129584169
2.4192722,50.820007,129584283
2.2330472,50.695366,129584394
2.1799912,50.34153,129584492
2.1799912,50.212116,129584573
2.1799912,50.212116,129611983
2.1799912,50.212116,129612109
2.1799912,49.822136,129612226
2.1799912,49.822136,129612346
2.1799948,50.211254,129612459
2.1799948,50.55382,129612577
2.2423308,50.70071,129612689
2.3948758,50.816246,129612807
2.7803369,50.820007,129612924
3.168743,50.820007,129613040
3.5158572,50.820007,129613156
3.6728845,50.777084,129613269
3.8320494,50.52731,129613382
