id,episode,entity_id,entity_type,entity_property_name,entity_property_value,goal_status,
1,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
2,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
3,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
4,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
5,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
6,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
7,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
8,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
9,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
10,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
11,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
12,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
13,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
14,1,button17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
15,1,button24,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
16,1,door12,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
17,1,button21,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
18,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
19,1,button20,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
20,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
21,1,button22,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
22,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
23,1,button20,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
24,1,button22,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
25,1,button17,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
26,1,button27,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
27,1,button29,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
28,1,door8,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
29,1,button24,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
30,1,door7,Door,isOpen,false,SUCCESS. Solved by Receive map sharing,
31,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
32,1,door10,Door,isOpen,true,SUCCESS. Solved by Receive map sharing,
33,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
34,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
35,1,button17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
36,1,button23,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
37,1,button17,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
38,1,button18,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
39,1,button17,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
40,1,button24,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
41,1,button20,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
42,1,button26,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
43,1,button20,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
44,1,button20,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
45,1,button29,Switch,isOn,true,SUCCESS. Solved by Receive map sharing,
46,1,button23,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
47,1,button18,Switch,isOn,false,SUCCESS. Solved by Receive map sharing,
